id_utilisateur,pseudo_user,description_user,content,image,date_time,timezone,contains_délai,contains_panne,contains_urgence,contains_scandale,contains_pas,contains_jamais,contains_rien,contains_problème,contains_erreur,contains_impossible,contains_tarifs,contains_aucune,satisfaction,sentiment,urgence,mot_clef,categorie
10,Alexf80341509,Alexf,"Je découvre dans les comms que je ne suis pas la seule à me faire tabasser par @ENGIEpartFR \nOk je suis dans une 🏠 pas super isolée, en chauffant a minima pour pas être obligée d'être en pull/plaid/chaussettes en sdb et chambre c'est 300€/mois, idem ceux en appart' visiblement",[],2024-03-07 14:42:55,+01:00,False,False,False,False,True,False,False,False,False,False,False,False,-5,négatif,False,"['tabasser', 'ENGIEpartFR', 'chauffage', 'prix']","['Problème de facturation', 'Pannes et urgences', 'Service client injoignable']"
11,Alexis_S78,Alex,@ENGIEpartFR trouvez-vous ça normal d’inventer des consommations et de ne pas vouloir rembourser l’intégralité des trop perçus à vos clients ? @dgccrf @med_energie https://t.co/oSEr7Urk9K,['https://t.co/oSEr7Urk9K'],2024-11-20 16:16:57,+01:00,False,False,False,False,True,False,False,False,False,False,False,False,-7,négatif,False,"['ENGIE factures injustifiées', 'remboursement refusé', 'dgccrf', 'med_energie']",['Problèmes de facturation']
12,AlfbTek,vérole humaine,"@RMCInfo  @BFMTV @CNEWS @60millions @er_natio  @ENGIEpartFR  Ce matin reçu facture GAZ, l'année dernière pour 2 mois 300 €. cette année, on ne chauffe plus la nuit, il fait 10°C le matin dans la maison, la journée 17°C, facture. 42O € Ca va finir quand cette mascarade !!",[],2025-02-12 11:14:56,+01:00,False,False,False,False,False,False,False,False,False,False,False,False,-5,négatif,False,"['facture gaz', 'hausse de prix', 'mascarade']",['Problèmes de facturation']
13,AliceVachet,Alice Vachet,"🗓️ RDV le 20/06 pour la table ronde ""L’#IA, au service de la #relationclients""\n\n🗣️ @ClaireCreation, Directrice Marketing, Data et Communication ENGIE\n🗣️ E. Krieger, professeur à @HECParis\n🗣️ V. Luciani, CEO @Artefact_France\n\n@ENGIEpartFR 🤝 @bymaddyness\n\n#collaborationcommerciale https://t.co/V49DtFm0Lx",['https://t.co/V49DtFm0Lx'],2024-08-14 13:58:18,+02:00,False,False,False,False,False,False,False,False,False,False,False,False,0,neutre,False,"['IA', 'relation clients', 'table ronde', 'ENGIE']",['Evenement']
14,Aline_scrap,Aline S.,"Mon conseil du jour : n'allez pas chez #engiehomeservice du groupe @ENGIEgroup ils sont injoignables, incompétents et ils n'en ont rien à faire que vous soyez 7 jours sans chauffage ni eau chaude.",[],2024-09-16 12:53:50,+02:00,False,False,False,False,True,False,True,False,False,False,False,False,-7,négatif,False,"['ENGIE injoignable', 'incompétents', 'problème chauffage']","['Service client injoignable', 'Pannes et urgences']"
14,Aline_scrap,Aline S.,"@ENGIEgroup Merci #oupas mais pas besoin ! Mon propriétaire a un contrat de service avec vous, au bout de 6 jours toujours aucune intervention  on a fait appel à un chauffagiste qui nous a dépanné en moins de 2 heures.",[],2024-03-20 09:44:05,+01:00,False,False,False,False,True,False,False,False,False,False,False,True,-5,négatif,False,"['problème de chauffage', 'service client injoignable', 'dépannage']","['Pannes et urgences', 'Problème service client téléphonique']"
15,AllaanFt,Allan Ft,"@ENGIEpartFR Scandaleux d'augmenter la mensualité des clients de 124% sans prévenir,  jouer avec l'argent des clients comme ça c'est Scandaleux, sans compter les prélèvements sans que ni tête. Sans un appel rapidement du service concerné comme demandé ce sera ciao.",[],2025-01-10 10:30:30,+01:00,False,False,False,True,False,False,False,False,False,False,False,False,-5,négatif,False,,
16,Alrianne_0,Jeremy Desvallees,"@ENGIEpartFR \nBonjour, on a un gros problème de contrat et de mauvais pdl pouvez nous aider, le service client a essayé nous aidez mais nous encore plus enfoncé dans ce problème.",[],2024-11-12 18:39:01,+01:00,False,False,False,False,False,False,False,True,False,False,False,False,-5,négatif,False,"['problème de contrat', 'mauvais pdl', 'service client incompétent']","[""besoin d'aide"", 'problème service client téléphonique']"
17,Altesse64,eleme64,Coucou @ENGIEpartFR Ça va tranquille les augmentations sur le coût d'un abonnement ?! 120€ de plus en 2 ans ! https://t.co/jkpyLEdJy8,['https://t.co/jkpyLEdJy8'],2024-07-21 14:37:33,+02:00,False,False,False,False,False,False,False,False,False,False,False,False,-5,négatif,False,,
18,AmethysteK,Amethyste Kyle,@ENGIEpartFR il faut m’expliquer COMMENT ma consommation peut avoir augmenté de 42% par rapport à l’an dernier en étant pas chez moi et en utilisant quasiment que des objet en piles et en ne cuisinant quasiment pas! Pour ne parler que de l’estimation que je viens d’avoir #Voleurs,[],2024-09-05 17:40:30,+02:00,False,False,False,False,True,False,False,False,False,False,False,False,-6,négatif,False,"['augmentation de consommation inexpliquée', 'estimation', 'facture']","['Problème de facturation', ""Besoin d'aide""]"
19,AmirRamires,Ramirez,@enedis @ENGIEgroup @ENGIEpartFR @enedis_clients @enedis_paris pour vous c’est normal de laisser des familles sans électricité ?\nPlus de 1 semaines pour obtenir un rdv avec un tech pour mettre en service l’électricité \nEn plein mois de janvier ou les températures sont basses !,[],2024-06-18 17:36:41,+02:00,False,False,False,False,False,False,False,False,False,False,False,False,-7,négatif,True,"['problème électricité', 'famille sans électricité', 'retard rendez-vous', 'températures basses']","['Pannes et urgences', 'Problèmes avec l’application', ""Besoin d'aide""]"
20,AnneCremer2,Anne Cremer,"@ENGIEpartFR : j'essaie de vous joindre depuis 48 h, impossible. J'ai envoyé un mail le 28.12, pas de réponse non plus. Je veux adapter le montant de mon forfait : impossible sur votre site.",[],2025-02-26 11:32:13,+01:00,False,False,False,False,True,False,False,False,False,True,False,False,-5,négatif,False,"['impossible joindre service client', 'adaptation forfait impossible', 'site en panne']","['Service client injoignable', 'Problèmes avec l’application']"
21,AnquezDamien,judas,quel enfer @ENGIEpartFR qd on déménage mdr jv pt une durite,[],2025-01-22 20:16:49,+01:00,False,False,False,False,False,False,False,False,False,False,False,False,-4,négatif,False,"['problème de déménagement', 'durite']","[""Besoin d'aide""]"
22,AntoineSautarel,Antoine Sautarel,@ENGIEpartFR  vous pensez qu’un jour votre appli marchera correctement ? C’est ça toutes les semaines… https://t.co/7tYiYJtgxu,['https://t.co/7tYiYJtgxu'],2024-02-26 08:52:23,+01:00,False,False,False,False,False,False,False,False,False,False,False,False,-5,négatif,False,"['ENGIE appli en panne', 'frustration', ""besoin d'aide""]","[""Problème avec l'application""]"
23,AtosTilny,AtosTilny,@ENGIEpartFR bonjour j'aurais besoin d'informations svp,[],2024-05-06 09:04:57,+02:00,False,False,False,False,False,False,False,False,False,False,False,False,-4,négatif,False,"[""besoin d'aide"", 'ENGIE', 'informations']","[""besoin d'aide""]"
24,Aury7667,Aury76,@ENGIEpartFR @ENGIEgroup ⚠️⚠️⚠️⚠️⚠️⚠️J'appelle hier le service client pour un bug sur l'espace client au niveau du suivi conso. On devait me rappeler aujourd'hui.  Personne!!! Je rappelle le service expliquant à nouveau mon problème on me transfère une autre personne qui s'étonne,[],2024-10-22 20:01:14,+02:00,False,False,False,False,False,False,False,True,False,False,False,False,-5,négatif,False,"[""bug sur l'espace client"", 'suivi conso', 'rappel non effectué', 'service client injoignable']","['Problème service client téléphonique', 'Problème avec l’application']"
25,AykCtk,PoAyko,"@ENGIEpartFR Bonjour,\nJe vous ai envoyé un DM la semaine passée, sans aucune réponse de votre part. Pourriez-vous avoir l'amabilité de porter un intérêt à mes questions sur des factures qui s'élèvent à 280€ pour le mois de novembre ? App. de 67m2 entièrement refait à neuf",[],2024-12-30 06:27:52,+01:00,False,False,False,False,True,False,False,False,False,False,False,True,-4,négatif,False,"['factures élevées', 'absence de réponse', ""besoin d'aide""]","['Problème de facturation', 'Service client injoignable']"
26,AznarPierre2,mr wick 🐕 (pierre),"@ENGIEpartFR pourquoi vos tarifs ont explosé  ,moi je ne m'en sort pas, vos factures ont triplés..... moi je suis handicapé ♿️, je ne suis pas riche pour payer aussi cher ....",[],2024-01-20 14:40:48,+01:00,False,False,False,False,True,False,False,False,False,False,True,False,-7,négatif,False,"['tarifs explosés', 'factures triplées', 'handicapé', 'payer cher']","['Problèmes de facturation', ""Besoin d'aide""]"
26,AznarPierre2,mr wick 🐕 (pierre),"Ont verra bien en attendant je paye plus de 80e par mois chez @ENGIEpartFR , et cela ne peu pas continuer....",[],2024-05-03 07:46:27,+02:00,False,False,False,False,True,False,False,False,False,False,False,False,-5,négatif,False,"['facturation', 'montant', 'erreur']",['Problèmes de facturation']
26,AznarPierre2,mr wick 🐕 (pierre),"Et bien sûr en ce moment, je n'ai d'aide de personne ya pas un chèque énergie @ENGIEpartFR , je me fait allumer tout les mois à payer 100 balles ,c'est plus possible c'est trop cher ...",[],2025-03-04 00:25:45,+01:00,False,False,False,False,True,False,False,False,False,False,False,False,-5,négatif,False,"['problème de facturation', 'chèque énergie', 'coût élevé']","['Problèmes de facturation', ""Besoin d'aide""]"
26,AznarPierre2,mr wick 🐕 (pierre),"Comment payé sa la , alors que mon frigo est vide @ENGIEpartFR ? Le prix augmente tout le temps, moi je n'y arrive pas https://t.co/PegqPAGgMc",['https://t.co/PegqPAGgMc'],2024-05-13 10:04:55,+02:00,False,False,False,False,True,False,False,False,False,False,False,False,-5,négatif,False,"['prix trop élevé', 'difficulté à payer', 'frigo vide']","['Tarifs élevés', ""Besoin d'aide""]"
26,AznarPierre2,mr wick 🐕 (pierre),@ENGIEpartFR comment pouvez vous me demander 136 euros alors que je vie seul . J'ai pas les moyens ......,[],2024-04-18 09:39:22,+02:00,False,False,False,False,True,False,False,False,False,False,False,False,-5,négatif,False,"['facturation erronée', 'difficultés financières', ""demande d'aide""]","['Problème de facturation', ""Besoin d'aide""]"
27,B3Izz,B3lz,"@ENGIEpartFR bonjour, j’ai besoin de votre aide : \n1 – Le 29 Juillet je reçois l’appel d’un de vos collaborateurs, m’indiquant qu’il y a une anomalie dans mon index de consommation et me demande d’aller faire une relève sur mon compteur gaz. Ce que je fais.",[],2024-01-31 18:05:15,+01:00,False,False,False,False,False,False,False,False,False,False,False,False,-1,négatif,False,"[""besoin d'aide"", 'anomalie consommation', 'relève compteur gaz']","['Problème de facturation', 'Service client téléphonique']"
28,BH3Ganja1er,Bastien.C,J'invite tout le monde à vérifier ses factures @ENGIEpartFR car ils sont en train de nous escroquer! Contrat soit disant bloqué pour 1 ans a 0.13cts du kwh je m'apercois que je suis à 0.30cts  depuis nov 2023 et à l'heure actuelle je  n'ai meme pas l'infos sur mon espace client!,[],2024-08-23 11:07:53,+02:00,False,False,False,False,True,False,False,False,False,False,False,False,-5,négatif,False,"['factures incorrectes', 'prix augmenté', 'problème service client']","['Problèmes de facturation', 'Service client injoignable']"
29,BIO_MOOD,Co Mood,@ENGIEpartFR vous êtes vous fait pirater vos données ou bien vendez vous nos Datas ? \nJe reçois plein de sms de numéros non commerciaux et la façon dont ils m’interpellent ( noms accolés de la colloc ) il n’y a que chez vous que je suis enregistrée ainsi. C’est juste intolérable,[],2024-04-08 16:47:55,+02:00,False,False,False,False,False,False,False,False,False,False,False,False,-6,négatif,False,"['ENGIE données piratées', 'vende données', 'SMS non commerciaux', 'intolérable']","['Problème de données', 'Service client injoignable']"
30,BamBa__Dieng,BKD,On peut parler des factures d’ @ENGIEpartFR  ?? Il commence à abuser vraiment de la bail ptdrr,[],2024-11-13 22:15:03,+01:00,False,False,False,False,False,False,False,False,False,False,False,False,-5,négatif,False,"['factures ENGIE', 'abus', 'frustration']",['Problèmes de facturation']
31,Bennuts77,Ben&Nuts,"@ENGIEpartFR Je passe de 122€ à 262€par mois, je dois payer 511€ de régulation, vous me faites payer une intervention d'un technicien jamais venu et a coté quand je vous contacte pour me dire qu'il y a un soucis personne se déplace? \nJ'ai 33m² les kheys pas 230 https://t.co/jsZ82Uh4Dc",['https://t.co/jsZ82Uh4Dc'],2025-01-19 20:01:02,+01:00,False,False,False,False,True,True,False,False,False,False,False,False,-5,négatif,False,"['facture élevée', 'intervention non effectuée', 'problème de facturation', ""besoin d'aide""]","['Problèmes de facturation', 'Service client injoignable']"
32,BiduleAnatheme,Anathème Bidule,"Nous sommes le 21 janvier 2024 et @ENGIEpartSAV @ENGIEpartFR n'a toujours pas traité ni la résiliation ni le remboursement, ni le signalement @dgccrf. Un niveau d'incompétence rare.",[],2024-03-01 04:49:20,+01:00,False,False,False,False,True,False,False,False,False,False,False,False,-5,négatif,False,"['délai', 'incompétence', 'résiliation', 'remboursement']","['Problèmes de facturation', 'Service client injoignable']"
32,BiduleAnatheme,Anathème Bidule,"@ENGIEpartSAV vous envisagez de vous occuper de l'agence fantôme du secteur Grand Marseille un jour, ou on va au tribunal ?\nEt non, je n'enverrai pas un énième mail que vous ne traiterez pas. Vous avez une mise en demeure à traiter. Et un signalement à la @dgccrf.",[],2024-05-13 11:18:20,+02:00,False,False,False,False,True,False,False,False,False,False,False,False,-4,négatif,False,,
33,Bochophobe,Bocho',@ENGIEpartFR besoin de vous 🫠,[],2024-01-08 20:05:22,+01:00,False,False,False,False,False,False,False,False,False,False,False,False,-6,négatif,False,"['service client injoignable', 'attente longue']",['Service client téléphonique mauvais']
34,Bonheur151,Bonheur15,"@BrunoLeMaire  deux questions: « moi , mes parents et grands parents ont payé les centrales nucléaires pourquoi ce prix de l’électricité ? »@ENGIEgroup augmenter l’abonnement de 35% c’est à cause de la guerre en Ukraine ou vs vs gavez bande de voleurs … J’attends vos retours ! https://t.co/iMj6ybI3lb",['https://t.co/iMj6ybI3lb'],2024-01-02 11:24:08,+01:00,False,False,False,False,False,False,False,False,False,False,False,False,,,,,
35,Brice561,Brice-56,"Bon, il me semble que @ENGIEpartFR ont 1 soucis avec le suivi conso car, idem, mon père a eu une ENORME différence sur sa facture par rapport à sa conso donnée par le suivi.\nDonc quand on nous dit qu'on peut savoir sa conso en temps réel...",[],2024-05-31 17:33:08,+02:00,False,False,False,False,False,False,False,False,False,False,False,False,,,,,
36,Brutus8039277,Brutus,@ENGIEpartFR qui coupe mon contrat d’électricité et de gaz 2 semaine trop tôt! Quelle honte !!! Je le retrouve avec un bb sans gaz et sans électricité ! Mon frigo plein qui va finir à la poubelle! Je fonce déposer une plainte immédiate,[],2024-06-28 15:41:03,+02:00,False,False,False,False,False,False,False,False,False,False,False,False,,,,,
36,Brutus8039277,Brutus,"Énorme compte @ENGIEpartFR ferme\nDepuis 1 semaines! Facture inaccessible , prélèvement sur les mauvais comptes. Combien de temps on va supporter cette merde!si c’est ça je résilie et je vais ailleurs! 10 ans que je suis client merde !",[],2024-02-09 20:47:47,+01:00,False,False,False,False,False,False,False,False,False,False,False,False,,,,,
36,Brutus8039277,Brutus,Alors là j’applaudis les voleurs de chez @ENGIEpartFR @ENGIEgroup ! Le prix de l’ectricite censé baissé se 20% va augmenter ! Mon abonnement au gaz va augmenter aussi ! \nPuisque c’est ça je change de fournisseur dans la journée ! @gouvernementFR @dgccrf,[],2024-03-18 20:11:43,+01:00,False,False,False,False,False,False,False,False,False,False,False,False,,,,,
37,By__Lisson,🌻𝑺𝒖𝒏𝒏𝒚 𝒂𝒏𝒅 𝒕𝒉𝒆 𝑭𝒊𝒔𝒉🐟,@ENGIEpartFR vous faite mal votre boulot. C'est aberrant d'être dans cette situation.,[],2024-05-26 17:55:17,+02:00,False,False,False,False,False,False,False,False,False,False,False,False,,,,,
38,C_lawest22,L.,@leretour_RR @ENGIEpartFR Mdrrr j’ai les nerfs i m’ont VOLÉ 500€ et ajd i font ça mdrrr,[],2024-11-13 18:43:31,+01:00,False,False,False,False,False,False,False,False,False,False,False,False,,,,,
38,C_lawest22,L.,Wow merci @ENGIEpartFR mais c’est 500€ que vous me devez https://t.co/b7Lu2eHdGC,['https://t.co/b7Lu2eHdGC'],2024-10-18 10:38:11,+02:00,False,False,False,False,False,False,False,False,False,False,False,False,,,,,
39,CarreraMag36695,Carrera Magda,@ENGIEpartFR INACCEPTABLE!! J’attends depuis plus d’une semaine d’être rappeler en urgence par un chauffagiste!! Je ne peux pas dormir chez moi à cause de vous! Vous êtes scandaleux!!honte sur vous et l’impossibilité d’accéder à vos service!! #engie #serviceclient #intouchable,[],2024-02-05 10:29:59,+01:00,False,False,True,True,True,False,False,False,False,False,False,False,,,,,
40,CeccatoMarion,marionceccatooff 🧡✝️⚜🇨🇵,#coupureelectricite dans le 65 !!!! \nÇa revient quand @ENGIEgroup ???,[],2024-05-11 12:27:13,+02:00,False,False,False,False,False,False,False,False,False,False,False,False,,,,,
41,CedricFt92,Cédric Ft,"@ENGIEpartFR pourquoi sur mon espace client, mon ancienne adresse de domicile est toujours mentionnée comme lieu de consommation, malgré avoir fait la procédure de changement d'adresse sur l'application ? Combien de temps ça prend pour faire le changement ?",[],2024-09-25 12:39:08,+02:00,False,False,False,False,False,False,False,False,False,False,False,False,,,,,
41,CedricFt92,Cédric Ft,"@ENGIEpartSAV suite a un recent déménagement, mon contrat électrique fourni bien la bonne adresse du nouveau domicile, mais sur mon espace client ça affiche toujours l'ancienne adresse.  Pourriez-vous régler le problème ? ?",[],2024-02-27 15:02:46,+01:00,False,False,False,False,False,False,False,True,False,False,False,False,,,,,
42,CedricMartins,Cédric Martins,Qui peut contraindre @ENGIEpartFR à écrire que ce n'est pas ma consommation qui va augmenter ma facture mais bien l'augmentation des tarifs ? @UFCquechoisir @dgccrf https://t.co/7toJjB5qrL,['https://t.co/7toJjB5qrL'],2024-01-17 15:42:23,+01:00,False,False,False,False,True,False,False,False,False,False,True,False,,,,,
43,Celio_24,Celio24,@ENGIEpartFR bonjour comment savoir si notre contrat va changer de tarif au 1er février ?,[],2024-01-10 20:09:32,+01:00,False,False,False,False,False,False,False,False,False,False,False,False,,,,,
44,Chabinegwada2,Lu Divine,@ENGIEpartFR le pire des svc clients. Appeler 10 fois le svc client pour le même problème et avoir des conseillers arrogants qui ne consultent pas le dossier avant de donner une réponse toute faite et à côté de la plaque. A quand les remboursements des sommes indûment perçues ?!,[],2024-05-29 09:25:37,+02:00,False,False,False,False,True,False,False,True,False,False,False,False,,,,,
45,ChloeByclo,chloeanne,"@ENGIEpartFR À quel moment peut on dire à quelqu’un qui s’interroge sur sa facture que sa demande ne rentre pas dans les 3 min et qui sort,en plus, vous m’avez fait ouvrir des onglets et télécharger des documents pour rien… https://t.co/qda5V0AAIU",['https://t.co/qda5V0AAIU'],2024-11-06 18:01:44,+01:00,False,False,False,False,True,False,True,False,False,False,False,False,,,,,
46,Chouette78810,Camille Chachou,@ENGIEpartFR bonjour imposs de voir la conso directement via l’appli merci alors que je l’ai demandee,[],2024-07-02 04:56:47,+02:00,False,False,False,False,False,False,False,False,False,False,False,False,,,,,
47,Chris_D_FR,Christian,C’est quoi cette augmentation d’abonnement de 20% ?? ⁦@dgccrf⁩ ⁦@TF1⁩ ⁦⁦@ENGIEpartFR⁩ ⁦@afpfr⁩\ninadmissible !!!! #energie #gaz #engie https://t.co/p7b9hcBGX6,['https://t.co/p7b9hcBGX6'],2024-05-28 09:16:01,+02:00,False,False,False,False,False,False,False,False,False,False,False,False,,,,,
48,Christo09033176,Christophe Delattre,@ENGIEpartFR sont des voleurs et ils trafiquent les données. Je vous déconseille ce fournisseur.\nExemple mon suivi en octobre m'indique une économie de 90€ et hop engie passe par là plus rien😡🤬\nNous avons un système en temps réel maintenant et bizarrement rien n'ai cohérent!,[],2024-03-15 12:53:40,+01:00,False,False,False,False,True,False,True,False,False,False,False,False,,,,,
49,ChtiKev,chtikev,@ENGIEpartFR l'arnaque va s'arrêter quand ? Je'ai acheter un feu a petrole je n'allume plus mes radiateurs et +12% de gaz utilisé en plus ?\n@60millions comment on les attaques ? https://t.co/Phgz8YrPvH,['https://t.co/Phgz8YrPvH'],2023-11-26 08:34:34,+01:00,False,False,False,False,False,False,False,False,False,False,False,False,,,,,
50,ClaraBoile44334,Clara Boileau,"Mes parents ont plus de 70 ans, ils se retrouvent ce soir sans eau chaude et sans  chauffage, et vous n'intervenez pas en urgence !!! Sérieusement, et vous proclamez meilleur service client ?! Et s'ils tombent malades, vous les soignez ?!!\n@engie @ENGIEpartFR https://t.co/wucqyaW2lv",['https://t.co/wucqyaW2lv'],2025-02-24 12:15:01,+01:00,False,False,True,False,True,False,False,False,False,False,False,False,,,,,
50,ClaraBoile44334,Clara Boileau,"Mes parents ont plus de 70 ans, ils se retrouvent ce soir sans eau chaude et sans  chauffage, et vous n'intervenez pas en urgence !!! Sérieusement, et vous proclamez meilleur service client ?! Et s'ils tombent malades, vous les soignez ?!!\n@ENGIEpartFR\n@jpclamadieu\n@cathmacgregor https://t.co/HX77Xh1y2x",['https://t.co/HX77Xh1y2x'],2025-01-20 12:12:06,+01:00,False,False,True,False,True,False,False,False,False,False,False,False,,,,,
51,Clem_C9,j,Depuis le mois de Juin je demande une facture à mon service client ENGIE. Ma dernière facture date de Septembre 2023. Service client qui se permet de raccrocher au nez de ses clients. Il ne donne aucune solution. À ce jour toujours aucune facture. #engie @ENGIEgroup @ENGIEpartFR,[],2025-02-12 04:17:43,+01:00,False,False,False,False,False,False,False,False,False,False,False,True,,,,,
52,CloBrgs,🦕,Happ-e by @ENGIEpartFR qui me prélève deux fois sur un même compteur qu’ils étaient censé me clotûrer suite à LEUR erreur. Et qui répondent pas par le service client. Donc sur un même Linky j’ai deux factures HAPPE (qui devraient pas exister) + 1 engie. Ça va sinon ?,[],2025-02-19 21:31:29,+01:00,False,False,False,False,True,False,False,False,True,False,False,False,,,,,
53,CloBusnel,Chloé Marchand,"Merci @ENGIEpartFR pour son appli de réglage de chauffage connecté qui ne fonctionne pas, encore, durant cette vague de froid avec 2 enfants en bas âge !!!!",[],2024-07-31 11:24:16,+02:00,False,False,False,False,True,False,False,False,False,False,False,False,,,,,
54,CoBouillot,Coralie Bouillot,"Facture exorbitante d'électricité de ma fille étudiante. J'appelle @ENGIEpartFR pour essayer de comprendre. Zéro détail, zéro explication à part un cours théorique sur le KwH. Je demande un détail conso, on me dit que ça coûte 2€ par mois...",[],2024-06-06 13:22:09,+02:00,False,False,False,False,False,False,False,False,False,False,False,False,,,,,
55,ConnardAmoureux,no one,"@ENGIEpartFR @EDFetMoi . Bonjour, ne sachant pas chez qui sont toutes les personnes impactées : rue Esquirol 75013 : plusieurs logements se retrouvent sans électricité d’un coup depuis 19h28",[],2024-10-04 10:52:29,+02:00,False,False,False,False,True,False,False,False,False,False,False,False,,,,,
56,Cozic3,marie,"@ENGIEpartFR , ma facture de février a augmenté de 100% /fev 23, avec un changement de tous mes chauffages, température 18 degrés. Vous êtes de véritables escrocs !",[],2025-01-06 09:06:15,+01:00,False,False,False,False,False,False,False,False,False,False,False,False,,,,,
57,Cpasmalo,Name,@ENGIEpartFR c'est normal qu'on ne puisse pas résilier un contrat ni depuis votre appli ni depuis le site ? Bande d'escrocs et de voleurs !,[],2024-12-05 08:04:04,+01:00,False,False,False,False,True,False,False,False,False,False,False,False,,,,,
58,CptBaroud,Gurvan 🇫🇷,@ENGIEpartFR contrat souscris pour le 20/06/2024 nous sommel e 01/07/2024 et je n'ai tjr rien c'est honteux !,[],2024-02-08 08:34:02,+01:00,False,False,False,False,False,False,True,False,False,False,False,False,,,,,
